candidate_name,job_title,skill,has_skill,gap
Ravi Iyer,Data Analyst,Python,False,True
Ravi Iyer,Data Analyst,SQL,True,False
Ravi Iyer,Data Analyst,Power BI,True,False
Ravi Iyer,Data Analyst,Machine Learning,True,False
Ravi Iyer,Data Analyst,NLP,False,True
Ravi Iyer,Data Analyst,AWS,True,False
Ravi Iyer,Data Analyst,Tableau,False,True
Ravi Iyer,Data Analyst,Excel,False,True
Ravi Iyer,Data Analyst,Git,True,False
Ravi Iyer,Data Analyst,ETL,False,True
